Oct. 19, 2022   13:05:27
Amperometric i-t Curve
File: f:\Data Source:  Experiment
Instrument Model:  CHI760E
Ref. Electrode: 
Header: 
Note: 

Init E (V) = 0.5
Sample Interval (s) = 0.1
Run Time (sec) = 150
Quiet Time (sec) = 0.2
Sensitivity (A/V) = 1e-9


Time/sec, Current/A

3.36001e+1, -2.92771e-9
3.37001e+1, -2.92743e-9
3.38001e+1, -2.92743e-9
3.39001e+1, -2.92727e-9
3.40001e+1, -2.92738e-9
3.41001e+1, -2.92738e-9
3.42001e+1, -2.92725e-9
3.43000e+1, -2.92733e-9
3.44000e+1, -2.92694e-9
3.45000e+1, -2.92671e-9
3.46000e+1, -2.92688e-9
3.47000e+1, -2.92687e-9
3.48000e+1, -2.92672e-9
3.49000e+1, -2.92655e-9
3.50000e+1, -2.92635e-9
3.51000e+1, -2.92631e-9
3.52000e+1, -2.92622e-9
3.53000e+1, -2.92615e-9
3.54000e+1, -2.92615e-9
3.55000e+1, -2.92593e-9
3.56000e+1, -2.92573e-9
3.57000e+1, -2.92583e-9
3.58000e+1, -2.92569e-9
3.59000e+1, -2.92544e-9
3.60000e+1, -2.92568e-9
3.61000e+1, -2.92544e-9
3.62000e+1, -2.92530e-9
3.63000e+1, -2.92560e-9
3.64000e+1, -2.92535e-9
3.65000e+1, -2.92518e-9
3.66000e+1, -2.92506e-9
3.67000e+1, -2.92497e-9
3.68000e+1, -2.92493e-9
3.69000e+1, -2.92476e-9
3.70000e+1, -2.92507e-9
3.71000e+1, -2.92470e-9
3.72000e+1, -2.92484e-9
3.73000e+1, -2.92448e-9
3.74000e+1, -2.92418e-9
3.75000e+1, -2.92429e-9
3.76000e+1, -2.92432e-9
3.77000e+1, -2.92419e-9
3.78000e+1, -2.92420e-9
3.79000e+1, -2.92391e-9
3.80000e+1, -2.92381e-9
3.81000e+1, -2.92392e-9
3.82000e+1, -2.92367e-9
3.83000e+1, -2.92359e-9
3.84000e+1, -2.92356e-9
3.85000e+1, -2.92363e-9
3.86000e+1, -2.92359e-9
3.87000e+1, -2.92332e-9
3.88000e+1, -2.92323e-9
3.89000e+1, -2.92309e-9
3.90000e+1, -2.92314e-9
3.91000e+1, -2.92283e-9
3.92000e+1, -2.92268e-9
3.93000e+1, -2.92267e-9
3.94000e+1, -2.92282e-9
3.95000e+1, -2.92264e-9
3.96000e+1, -2.92250e-9
3.97000e+1, -2.92262e-9
3.98000e+1, -2.92241e-9
3.99000e+1, -2.92250e-9
4.00000e+1, -2.92208e-9
4.01000e+1, -2.92216e-9
4.02000e+1, -2.92232e-9
4.03000e+1, -2.92224e-9
4.04000e+1, -2.92227e-9
4.05000e+1, -2.92191e-9
4.06000e+1, -2.92198e-9
4.07000e+1, -2.92159e-9
4.07999e+1, -2.92183e-9
